,County,Population 2020,GrowthRate
0,Alameda,1684000,11.2991
1,Alpine,1061,-8.6133
2,Amador,41047,8.3492
3,Butte,235354,7.0058
4,Calaveras,45522,0.1188
5,Colusa,21531,0.4385
6,Contra Costa,1160920,10.2949
7,Del Norte,28628,0.21
8,El Dorado,194590,7.4293
9,Fresno,1010120,8.3746
10,Glenn,28229,0.3662
11,Humboldt,136065,0.7889
12,Imperial,182333,4.3513
13,Inyo,18065,-2.4146
14,Kern,912316,8.4706
15,Kings,154706,1.5258
16,Lake,64822,0.1344
17,Lassen,30160,-13.413
18,Los Angeles,10079000,2.6121
19,Madera,161208,6.756
20,Marin,259548,2.6267
21,Mariposa,17539,-4.0379
22,Mendocino,87424,-0.4282
23,Merced,281615,9.6922
24,Modoc,8635,-10.9702
25,Mono,14280,0.1613
26,Monterey,435828,4.6667
27,Napa,137479,0.4905
28,Nevada,100082,1.3130000000000002
29,Orange,3198000,6.0148
30,Placer,408317,16.6533
31,Plumas,18932,-4.9312
32,Riverside,2517830,14.360999999999999
33,Sacramento,1567490,10.2771
34,San Benito,64213,15.6637
35,San Bernardino,2208400,8.2066
36,San Diego,3379160,8.8889
37,San Francisco,891583,10.68
38,San Joaquin,772948,12.4851
39,San Luis Obispo,286354,6.1337
40,San Mateo,771019,7.1269
41,Santa Barbara,448369,5.6888
42,Santa Clara,1945940,8.9503
43,Santa Cruz,272555,3.5673
44,Shasta,181042,2.1238
45,Sierra,2943,-8.6309
46,Siskiyou,43604,-2.9685
47,Solano,452076,9.2119
48,Sonoma,493334,1.7654
49,Stanislaus,558911,8.4916
50,Sutter,97545,2.9466
51,Tehama,64312,1.1752
52,Trinity,12153,-11.6403
53,Tulare,471389,6.4098
54,Tuolumne,55539,0.6305
55,Ventura,851297,3.1713
56,Yolo,224472,11.6315
57,Yuba,80573,11.3656
