,County,Population 2020,Population Quartiles,Month,TotalCountConfirmed,Date,Total Cases(%)
0,Alameda,1684000,Quartile 4,March,269.0,2020-03-31,0.00015973871733966746
1,Alameda,1684000,Quartile 4,April,1599.0,2020-04-30,0.0009495249406175772
2,Alameda,1684000,Quartile 4,May,3362.0,2020-05-31,0.001996437054631829
3,Alameda,1684000,Quartile 4,June,6067.0,2020-06-30,0.003602731591448931
4,Alameda,1684000,Quartile 4,July,11441.0,2020-07-31,0.006793942992874109
5,Alameda,1684000,Quartile 4,August,18148.0,2020-08-31,0.010776722090261282
6,Alameda,1684000,Quartile 4,September,21271.0,2020-09-30,0.012631235154394299
7,Alameda,1684000,Quartile 4,October,22546.0,2020-10-18,0.013388361045130642
8,Alpine,1061,Quartile 1,March,1.0,2020-03-31,0.000942507068803016
9,Alpine,1061,Quartile 1,April,1.0,2020-04-30,0.000942507068803016
10,Alpine,1061,Quartile 1,May,1.0,2020-05-31,0.000942507068803016
11,Alpine,1061,Quartile 1,June,1.0,2020-06-30,0.000942507068803016
12,Alpine,1061,Quartile 1,July,2.0,2020-07-31,0.001885014137606032
13,Alpine,1061,Quartile 1,August,2.0,2020-08-31,0.001885014137606032
14,Alpine,1061,Quartile 1,September,2.0,2020-09-30,0.001885014137606032
15,Alpine,1061,Quartile 1,October,3.0,2020-10-18,0.002827521206409048
16,Amador,41047,Quartile 1,March,1.0,2020-03-31,2.436231636904037e-05
17,Amador,41047,Quartile 1,April,8.0,2020-04-30,0.00019489853095232295
18,Amador,41047,Quartile 1,May,10.0,2020-05-31,0.00024362316369040367
19,Amador,41047,Quartile 1,June,21.0,2020-06-30,0.0005116086437498477
20,Amador,41047,Quartile 1,July,98.0,2020-07-31,0.0023875070041659563
21,Amador,41047,Quartile 1,August,243.0,2020-08-31,0.005920042877676809
22,Amador,41047,Quartile 1,September,294.0,2020-09-30,0.007162521012497868
23,Amador,41047,Quartile 1,October,313.0,2020-10-18,0.007625405023509635
24,Butte,235354,Quartile 3,March,6.0,2020-03-31,2.549351190122114e-05
25,Butte,235354,Quartile 3,April,16.0,2020-04-30,6.798269840325637e-05
26,Butte,235354,Quartile 3,May,51.0,2020-05-31,0.0002166948511603797
