County,Month,TotalCountConfirmed,TotalCountDeaths,Date
Alameda,March,269.0,7.0,2020-03-31
Alameda,April,1599.0,63.0,2020-04-30
Alameda,May,3362.0,104.0,2020-05-31
Alameda,June,6067.0,135.0,2020-06-30
Alameda,July,11441.0,182.0,2020-07-31
Alameda,August,18148.0,257.0,2020-08-31
Alameda,September,21271.0,412.0,2020-09-30
Alameda,October,22546.0,442.0,2020-10-18
Alpine,March,1.0,0.0,2020-03-31
Alpine,April,1.0,0.0,2020-04-30
Alpine,May,1.0,0.0,2020-05-31
Alpine,June,1.0,0.0,2020-06-30
Alpine,July,2.0,0.0,2020-07-31
Alpine,August,2.0,0.0,2020-08-31
Alpine,September,2.0,0.0,2020-09-30
Alpine,October,3.0,0.0,2020-10-18
Amador,March,1.0,0.0,2020-03-31
Amador,April,8.0,0.0,2020-04-30
Amador,May,10.0,0.0,2020-05-31
Amador,June,21.0,0.0,2020-06-30
Amador,July,98.0,0.0,2020-07-31
Amador,August,243.0,14.0,2020-08-31
Amador,September,294.0,16.0,2020-09-30
Amador,October,313.0,16.0,2020-10-18
Butte,March,6.0,0.0,2020-03-31
Butte,April,16.0,0.0,2020-04-30
Butte,May,51.0,0.0,2020-05-31
Butte,June,177.0,2.0,2020-06-30
Butte,July,925.0,7.0,2020-07-31
Butte,August,2069.0,23.0,2020-08-31
Butte,September,2858.0,45.0,2020-09-30
Butte,October,3019.0,50.0,2020-10-18
Calaveras,March,3.0,0.0,2020-03-31
Calaveras,April,13.0,0.0,2020-04-30
Calaveras,May,15.0,0.0,2020-05-31
Calaveras,June,35.0,0.0,2020-06-30
Calaveras,July,112.0,1.0,2020-07-31
Calaveras,August,212.0,2.0,2020-08-31
Calaveras,September,261.0,14.0,2020-09-30
Calaveras,October,267.0,17.0,2020-10-18
Colusa,March,1.0,0.0,2020-03-31
Colusa,April,3.0,0.0,2020-04-30
Colusa,May,5.0,0.0,2020-05-31
Colusa,June,46.0,0.0,2020-06-30
Colusa,July,319.0,4.0,2020-07-31
Colusa,August,443.0,6.0,2020-08-31
Colusa,September,534.0,6.0,2020-09-30
Colusa,October,544.0,6.0,2020-10-18
Contra Costa,March,246.0,3.0,2020-03-31
Contra Costa,April,900.0,27.0,2020-04-30
Contra Costa,May,1458.0,37.0,2020-05-31
Contra Costa,June,3217.0,76.0,2020-06-30
Contra Costa,July,7697.0,119.0,2020-07-31
Contra Costa,August,13902.0,175.0,2020-08-31
Contra Costa,September,16819.0,209.0,2020-09-30
Contra Costa,October,18120.0,234.0,2020-10-18
Del Norte,March,0.0,0.0,2020-03-31
Del Norte,April,3.0,0.0,2020-04-30
Del Norte,May,37.0,0.0,2020-05-31
Del Norte,June,49.0,0.0,2020-06-30
Del Norte,July,68.0,0.0,2020-07-31
Del Norte,August,108.0,1.0,2020-08-31
Del Norte,September,142.0,1.0,2020-09-30
Del Norte,October,167.0,1.0,2020-10-18
El Dorado,March,14.0,0.0,2020-03-31
El Dorado,April,44.0,0.0,2020-04-30
El Dorado,May,88.0,0.0,2020-05-31
El Dorado,June,180.0,0.0,2020-06-30
El Dorado,July,616.0,1.0,2020-07-31
El Dorado,August,965.0,2.0,2020-08-31
El Dorado,September,1157.0,4.0,2020-09-30
El Dorado,October,1283.0,4.0,2020-10-18
Fresno,March,59.0,0.0,2020-03-31
Fresno,April,562.0,7.0,2020-04-30
Fresno,May,1780.0,35.0,2020-05-31
Fresno,June,5011.0,74.0,2020-06-30
Fresno,July,15083.0,138.0,2020-07-31
Fresno,August,25185.0,263.0,2020-08-31
Fresno,September,28706.0,390.0,2020-09-30
Fresno,October,30051.0,429.0,2020-10-18
Glenn,March,2.0,0.0,2020-03-31
Glenn,April,4.0,0.0,2020-04-30
Glenn,May,16.0,0.0,2020-05-31
Glenn,June,105.0,0.0,2020-06-30
Glenn,July,304.0,1.0,2020-07-31
Glenn,August,437.0,3.0,2020-08-31
Glenn,September,592.0,3.0,2020-09-30
Glenn,October,634.0,3.0,2020-10-18
Humboldt,March,18.0,0.0,2020-03-31
Humboldt,April,54.0,0.0,2020-04-30
Humboldt,May,98.0,3.0,2020-05-31
Humboldt,June,133.0,4.0,2020-06-30
Humboldt,July,229.0,4.0,2020-07-31
Humboldt,August,374.0,4.0,2020-08-31
Humboldt,September,497.0,8.0,2020-09-30
Humboldt,October,540.0,8.0,2020-10-18
Imperial,March,17.0,0.0,2020-03-31
Imperial,April,322.0,8.0,2020-04-30
Imperial,May,2197.0,27.0,2020-05-31
Imperial,June,6086.0,93.0,2020-06-30
Imperial,July,7886.0,210.0,2020-07-31
Imperial,August,9759.0,293.0,2020-08-31
Imperial,September,10868.0,320.0,2020-09-30
Imperial,October,11987.0,335.0,2020-10-18
