,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,andorra la vella,42.5,1.49,275.37,83,88,1.33,AD,1602905709
1,agarakadzor,39.73,45.35,281.15,70,0,3.1,AM,1602905710
2,berd,40.88,45.39,286.38,59,0,1.89,AM,1602905710
3,lanjaghbyur,40.27,45.14,280.15,75,0,1,AM,1602905710
4,shahumyan,39.94,44.57,280.15,75,0,1,AM,1602905710
5,nieuwpoort,51.12,2.77,279.26,100,79,1,BE,1602905710
6,mercedes,-34.65,-59.43,292.59,81,0,1.79,AR,1602905711
7,berndorf,47.95,16.11,280.37,92,99,2.68,AT,1602905711
8,knittelfeld,47.22,14.82,277.15,93,97,1,AT,1602905711
9,sankt veit,49.1,10.95,279.26,100,90,3.1,DE,1602905711
10,biloela,-24.42,150.5,303.15,24,0,3.78,AU,1602905711
11,kempsey,-31.08,152.83,299.82,68,71,3.58,AU,1602905673
12,sunbury,-37.58,144.73,292.04,63,75,8.7,AU,1602905507
13,puta,40.3,49.66,289.15,93,0,5.1,AZ,1602905712
14,coralici,45.01,15.87,278.71,95,100,0.79,BA,1602905712
15,mionica,44.87,18.46,282.15,100,75,0.5,BA,1602905712
16,travnik,44.23,17.67,281.15,100,75,1,BA,1602905713
17,chastre,50.6,4.63,278.15,100,20,1,BE,1602905713
18,gembloux,50.56,4.7,278.15,100,20,1,BE,1602905713
19,kaprijke,51.21,3.63,280.15,87,0,2.1,BE,1602905714
20,merelbeke,50.99,3.75,280.37,84,0,1.47,BE,1602905714
21,retie,51.27,5.08,277.59,96,9,1.2,BE,1602905714
22,virton,49.57,5.53,281.48,88,77,2.18,BE,1602905714
23,kokologo,12.19,-1.89,297.15,83,40,3.1,BF,1602905714
24,dve mogili,43.6,25.87,289.26,100,98,1,BG,1602905715
25,omurtag,43.1,26.42,289.26,100,91,1,BG,1602905715
26,veliki preslav,43.17,26.82,287.75,79,90,0.71,BG,1602905715
27,caracollo,-14.92,-70.66,279.41,74,97,2.06,PE,1602905715
28,santa barbara,34.73,-120.03,294.15,35,1,1.5,US,1602905674
29,altinopolis,-21.03,-47.37,292.15,72,98,4.6,BR,1602905716
30,araripe,-7.21,-40.05,293.45,45,32,2.69,BR,1602905716
31,barra velha,-26.63,-48.68,292.15,77,75,1.5,BR,1602905716
32,boquira,-12.82,-42.73,297.4,41,3,3.15,BR,1602905716
33,camacari,-12.7,-38.32,299.15,74,20,4.1,BR,1602905717
34,caraguatatuba,-23.63,-45.49,289.15,82,75,2.6,BR,1602905717
35,cianorte,-23.66,-52.6,291.45,78,27,4.08,BR,1602905717
36,cruzilia,-21.84,-44.81,288.19,89,99,2.36,BR,1602905717
37,exu,-7.51,-39.72,293,52,6,1.15,BR,1602905718
38,guajara,-2.97,-57.67,298.73,70,4,0.77,BR,1602905718
39,iguaba grande,-22.84,-42.23,291.67,83,92,1.15,BR,1602905718
40,itajuba,-22.43,-45.45,289.82,80,78,1.39,BR,1602905718
41,jacarei,-23.31,-45.97,289.15,82,75,2.6,BR,1602905719
42,juruti,-2.15,-56.09,300.18,64,0,1.37,BR,1602905719
43,manaquiri,-3.32,-60.35,301.15,78,43,1,BR,1602905719
44,miguelopolis,-20.18,-48.03,295.59,73,91,1.62,BR,1602905719
45,ouro branco,-20.52,-43.69,288.44,93,100,2.05,BR,1602905441
46,patu,-6.11,-37.64,295.62,81,49,4.19,BR,1602905720
47,piraquara,-25.44,-49.06,284.26,87,40,2.1,BR,1602905433
48,presidente prudente,-22.13,-51.39,291.61,68,86,6.08,BR,1602905459
49,rio novo do sul,-20.86,-40.94,291.25,94,100,1.18,BR,1602905720
50,santa rita do sapucai,-22.25,-45.7,289.82,80,88,1,BR,1602905721
51,sao joao de pirabas,-0.77,-47.18,298.51,85,27,2.52,BR,1602905721
52,sarandi,-23.44,-51.87,290.22,72,12,4.71,BR,1602905721
53,taperoa,-7.21,-36.83,292.63,90,57,7.42,BR,1602905722
